,date,elev,unit,elevft
800,2015-03-12,1278.9517299999843,ft,4196.035859580001
801,2015-03-13,1278.9578259999842,ft,4196.05585958
802,2015-03-14,1278.9456339999842,ft,4196.01585958
803,2015-03-15,1278.9425859999842,ft,4196.00585958
804,2015-03-16,1278.9517299999843,ft,4196.035859580001
805,2015-03-17,1278.9547779999841,ft,4196.04585958
806,2015-03-18,1278.9639219999842,ft,4196.075859580001
807,2015-03-19,1278.9639219999842,ft,4196.075859580001
808,2015-03-20,1278.9456339999842,ft,4196.01585958
809,2015-03-21,1278.9517299999843,ft,4196.035859580001
810,2015-03-22,1278.9517299999843,ft,4196.035859580001
811,2015-03-23,1278.9639219999842,ft,4196.075859580001
812,2015-03-24,1278.9547779999841,ft,4196.04585958
813,2015-03-25,1278.9486819999843,ft,4196.0258595800005
814,2015-03-26,1278.9395379999844,ft,4195.995859580001
815,2015-03-27,1278.933441999984,ft,4195.97585958
816,2015-03-28,1278.9425859999842,ft,4196.00585958
817,2015-03-29,1278.9486819999843,ft,4196.0258595800005
818,2015-03-30,1278.9395379999844,ft,4195.995859580001
819,2015-03-31,1278.9456339999842,ft,4196.01585958
820,2015-04-01,1278.9456339999842,ft,4196.01585958
821,2015-04-02,1278.9456339999842,ft,4196.01585958
822,2015-04-03,1278.9182019999841,ft,4195.92585958
823,2015-04-04,1278.9212499999842,ft,4195.93585958
824,2015-04-05,1278.9364899999841,ft,4195.985859580001
825,2015-04-06,1278.9486819999843,ft,4196.0258595800005
826,2015-04-07,1278.8968659999841,ft,4195.8558595800005
827,2015-04-08,1278.8968659999841,ft,4195.8558595800005
828,2015-04-09,1278.902961999984,ft,4195.87585958
829,2015-04-10,1278.9060099999842,ft,4195.88585958
830,2015-04-11,1278.9121059999843,ft,4195.905859580001
831,2015-04-12,1278.9060099999842,ft,4195.88585958
832,2015-04-13,1278.893817999984,ft,4195.84585958
833,2015-04-14,1278.8999139999842,ft,4195.865859580001
834,2015-04-15,1278.9060099999842,ft,4195.88585958
835,2015-04-16,1278.893817999984,ft,4195.84585958
836,2015-04-17,1278.893817999984,ft,4195.84585958
837,2015-04-18,1278.890769999984,ft,4195.83585958
838,2015-04-19,1278.902961999984,ft,4195.87585958
839,2015-04-20,1278.8877219999843,ft,4195.825859580001
840,2015-04-21,1278.8785779999841,ft,4195.79585958
841,2015-04-22,1278.866385999984,ft,4195.75585958
842,2015-04-23,1278.8755299999843,ft,4195.785859580001
843,2015-04-24,1278.8816259999842,ft,4195.80585958
844,2015-04-25,1278.8877219999843,ft,4195.825859580001
845,2015-04-26,1278.9060099999842,ft,4195.88585958
846,2015-04-27,1278.902961999984,ft,4195.87585958
847,2015-04-28,1278.8785779999841,ft,4195.79585958
848,2015-04-29,1278.8694339999843,ft,4195.76585958
849,2015-04-30,1278.9121059999843,ft,4195.905859580001
850,2015-05-01,1278.8755299999843,ft,4195.785859580001
851,2015-05-02,1278.866385999984,ft,4195.75585958
852,2015-05-03,1278.866385999984,ft,4195.75585958
853,2015-05-04,1278.8480979999842,ft,4195.695859580001
854,2015-05-05,1278.8602899999842,ft,4195.735859580001
855,2015-05-06,1278.866385999984,ft,4195.75585958
856,2015-05-07,1278.866385999984,ft,4195.75585958
